Type                                  Module                      Label             Process   
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "HLT"     
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "HLT"     
GenEventInfoProduct                   "generator"                 ""                "HLT"     
HcalNoiseSummary                      "hcalnoise"                 ""                "HLT"     
HcalUnpackerReport                    "castorDigis"               ""                "HLT"     
HcalUnpackerReport                    "hcalDigis"                 ""                "HLT"     
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "HLT"     
OnlineLuminosityRecord                "onlineMetaDataDigis"       ""                "HLT"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"     
TCDSRecord                            "tcdsDigis"                 "tcdsRecord"      "HLT"     
TotemTriggerCounters                  "totemTriggerRawToDigi"     ""                "HLT"     
double                                "fixedGridRhoAll"           ""                "HLT"     
double                                "fixedGridRhoFastjetAll"    ""                "HLT"     
double                                "fixedGridRhoFastjetAllCalo"   ""                "HLT"     
double                                "fixedGridRhoFastjetAllTmp"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentral"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentralCalo"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "HLT"     
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "HLT"     
double                                "ak4CaloJets"               "rho"             "HLT"     
double                                "ak4GenJets"                "rho"             "HLT"     
double                                "ak4GenJetsNoNu"            "rho"             "HLT"     
double                                "ak4PFJets"                 "rho"             "HLT"     
double                                "ak4PFJetsCHS"              "rho"             "HLT"     
double                                "ak4TrackJets"              "rho"             "HLT"     
double                                "ak5CastorJets"             "rho"             "HLT"     
double                                "ak7CastorJets"             "rho"             "HLT"     
double                                "ak8GenJets"                "rho"             "HLT"     
double                                "ak8GenJetsNoNu"            "rho"             "HLT"     
double                                "ak8PFJetsCHS"              "rho"             "HLT"     
double                                "ak8PFJetsCHSSoftDrop"      "rho"             "HLT"     
double                                "cmsTopTagPFJetsCHS"        "rho"             "HLT"     
double                                "ak4CaloJets"               "sigma"           "HLT"     
double                                "ak4GenJets"                "sigma"           "HLT"     
double                                "ak4GenJetsNoNu"            "sigma"           "HLT"     
double                                "ak4PFJets"                 "sigma"           "HLT"     
double                                "ak4PFJetsCHS"              "sigma"           "HLT"     
double                                "ak4TrackJets"              "sigma"           "HLT"     
double                                "ak5CastorJets"             "sigma"           "HLT"     
double                                "ak7CastorJets"             "sigma"           "HLT"     
double                                "ak8GenJets"                "sigma"           "HLT"     
double                                "ak8GenJetsNoNu"            "sigma"           "HLT"     
double                                "ak8PFJetsCHS"              "sigma"           "HLT"     
double                                "ak8PFJetsCHSSoftDrop"      "sigma"           "HLT"     
double                                "cmsTopTagPFJetsCHS"        "sigma"           "HLT"     
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "HLT"     
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "HLT"     
